Edge	Score_init	Score_changed
accoa_c (pp) mal__L_c	1.0	4.0
accoa_c (pp) h_c	1.0	4.0
accoa_c (pp) coa_c	1.0	4.0
MALS (pp) MALS	1.0	4.0
MALS (pp) mal__L_c	1.0	4.0
MALS (pp) h_c	1.0	4.0
MALS (pp) coa_c	1.0	4.0
h_e (pp) MALt2_2	1.0	4.0
h_e (pp) mal__L_c	1.0	4.0
h_e (pp) h_c	1.0	4.0
mal__L_e (pp) MALt2_2	1.0	4.0
mal__L_e (pp) mal__L_c	1.0	4.0
mal__L_e (pp) h_c	1.0	4.0
MALt2_2 (pp) MALt2_2	1.0	4.0
MALt2_2 (pp) mal__L_c	1.0	4.0
MALt2_2 (pp) h_c	1.0	4.0
mal__L_c (pp) MDH	1.0	4.0
mal__L_c (pp) nadh_c	1.0	4.0
mal__L_c (pp) oaa_c	1.0	4.0
mal__L_c (pp) h_c	1.0	4.0
nad_c (pp) MDH	1.0	4.0
nad_c (pp) nadh_c	1.0	4.0
nad_c (pp) oaa_c	1.0	4.0
nad_c (pp) h_c	1.0	4.0
MDH (pp) MDH	1.0	4.0
MDH (pp) nadh_c	1.0	4.0
MDH (pp) oaa_c	1.0	4.0
MDH (pp) h_c	1.0	4.0
mal__L_c (pp) ME1	1.0	4.0
mal__L_c (pp) nadh_c	1.0	4.0
mal__L_c (pp) co2_c	1.0	4.0
mal__L_c (pp) pyr_c	1.0	4.0
nad_c (pp) ME1	1.0	4.0
nad_c (pp) nadh_c	1.0	4.0
nad_c (pp) co2_c	1.0	4.0
nad_c (pp) pyr_c	1.0	4.0
ME1 (pp) ME1	1.0	4.0
ME1 (pp) nadh_c	1.0	4.0
ME1 (pp) co2_c	1.0	4.0
ME1 (pp) pyr_c	1.0	4.0
nadp_c (pp) ME2	1.0	4.0
nadp_c (pp) pyr_c	1.0	4.0
nadp_c (pp) co2_c	1.0	4.0
nadp_c (pp) nadph_c	1.0	4.0
mal__L_c (pp) ME2	1.0	4.0
mal__L_c (pp) pyr_c	1.0	4.0
mal__L_c (pp) co2_c	1.0	4.0
mal__L_c (pp) nadph_c	1.0	4.0
ME2 (pp) ME2	1.0	4.0
ME2 (pp) pyr_c	1.0	4.0
ME2 (pp) co2_c	1.0	4.0
ME2 (pp) nadph_c	1.0	4.0
h_c (pp) NADH16	1.0	0.25
h_c (pp) q8h2_c	1.0	0.25
h_c (pp) h_e	1.0	0.25
h_c (pp) nad_c	1.0	0.25
nadh_c (pp) NADH16	1.0	0.25
nadh_c (pp) q8h2_c	1.0	0.25
nadh_c (pp) h_e	1.0	0.25
nadh_c (pp) nad_c	1.0	0.25
q8_c (pp) NADH16	1.0	0.25
q8_c (pp) q8h2_c	1.0	0.25
q8_c (pp) h_e	1.0	0.25
q8_c (pp) nad_c	1.0	0.25
NADH16 (pp) NADH16	1.0	0.25
NADH16 (pp) q8h2_c	1.0	0.25
NADH16 (pp) h_e	1.0	0.25
NADH16 (pp) nad_c	1.0	0.25
nadph_c (pp) NADTRHD	1.0	0.5
nadph_c (pp) nadh_c	1.0	0.5
nadph_c (pp) nadp_c	1.0	0.5
nad_c (pp) NADTRHD	1.0	0.5
nad_c (pp) nadh_c	1.0	0.5
nad_c (pp) nadp_c	1.0	0.5
NADTRHD (pp) NADTRHD	1.0	0.5
NADTRHD (pp) nadh_c	1.0	0.5
NADTRHD (pp) nadp_c	1.0	0.5
nh4_e (pp) NH4t	1.0	0.5
nh4_e (pp) nh4_c	1.0	0.5
NH4t (pp) NH4t	1.0	0.5
NH4t (pp) nh4_c	1.0	0.5
o2_e (pp) O2t	1.0	1.0
o2_e (pp) o2_c	1.0	1.0
O2t (pp) O2t	1.0	1.0
O2t (pp) o2_c	1.0	1.0
nad_c (pp) PDH	1.0	4.0
nad_c (pp) nadh_c	1.0	4.0
nad_c (pp) accoa_c	1.0	4.0
nad_c (pp) co2_c	1.0	4.0
pyr_c (pp) PDH	1.0	4.0
pyr_c (pp) nadh_c	1.0	4.0
pyr_c (pp) accoa_c	1.0	4.0
pyr_c (pp) co2_c	1.0	4.0
coa_c (pp) PDH	1.0	4.0
coa_c (pp) nadh_c	1.0	4.0
coa_c (pp) accoa_c	1.0	4.0
coa_c (pp) co2_c	1.0	4.0
PDH (pp) PDH	1.0	4.0
PDH (pp) nadh_c	1.0	4.0
PDH (pp) accoa_c	1.0	4.0
PDH (pp) co2_c	1.0	4.0
f6p_c (pp) PFK	1.0	4.0
f6p_c (pp) h_c	1.0	4.0
f6p_c (pp) adp_c	1.0	4.0
f6p_c (pp) fdp_c	1.0	4.0
atp_c (pp) PFK	1.0	4.0
atp_c (pp) h_c	1.0	4.0
atp_c (pp) adp_c	1.0	4.0
atp_c (pp) fdp_c	1.0	4.0
PFK (pp) PFK	1.0	4.0
PFK (pp) h_c	1.0	4.0
PFK (pp) adp_c	1.0	4.0
PFK (pp) fdp_c	1.0	4.0
pyr_c (pp) PFL	1.0	0.5
pyr_c (pp) for_c	1.0	0.5
pyr_c (pp) accoa_c	1.0	0.5
coa_c (pp) PFL	1.0	0.5
coa_c (pp) for_c	1.0	0.5
coa_c (pp) accoa_c	1.0	0.5
PFL (pp) PFL	1.0	0.5
PFL (pp) for_c	1.0	0.5
PFL (pp) accoa_c	1.0	0.5
g6p_c (pp) PGI	1.0	4.0
g6p_c (pp) f6p_c	1.0	4.0
PGI (pp) PGI	1.0	4.0
PGI (pp) f6p_c	1.0	4.0
atp_c (pp) PGK	1.0	4.0
atp_c (pp) adp_c	1.0	4.0
atp_c (pp) 13dpg_c	1.0	4.0
3pg_c (pp) PGK	1.0	4.0
3pg_c (pp) adp_c	1.0	4.0
3pg_c (pp) 13dpg_c	1.0	4.0
PGK (pp) PGK	1.0	4.0
PGK (pp) adp_c	1.0	4.0
PGK (pp) 13dpg_c	1.0	4.0
h2o_c (pp) PGL	1.0	4.0
h2o_c (pp) 6pgc_c	1.0	4.0
h2o_c (pp) h_c	1.0	4.0
6pgl_c (pp) PGL	1.0	4.0
6pgl_c (pp) 6pgc_c	1.0	4.0
6pgl_c (pp) h_c	1.0	4.0
PGL (pp) PGL	1.0	4.0
PGL (pp) 6pgc_c	1.0	4.0
PGL (pp) h_c	1.0	4.0
2pg_c (pp) PGM	1.0	0.25
2pg_c (pp) 3pg_c	1.0	0.25
PGM (pp) PGM	1.0	0.25
PGM (pp) 3pg_c	1.0	0.25
h_e (pp) PIt2r	1.0	4.0
h_e (pp) pi_c	1.0	4.0
h_e (pp) h_c	1.0	4.0
pi_e (pp) PIt2r	1.0	4.0
pi_e (pp) pi_c	1.0	4.0
pi_e (pp) h_c	1.0	4.0
PIt2r (pp) PIt2r	1.0	4.0
PIt2r (pp) pi_c	1.0	4.0
PIt2r (pp) h_c	1.0	4.0
h2o_c (pp) PPC	1.0	4.0
h2o_c (pp) h_c	1.0	4.0
h2o_c (pp) oaa_c	1.0	4.0
h2o_c (pp) pi_c	1.0	4.0
co2_c (pp) PPC	1.0	4.0
co2_c (pp) h_c	1.0	4.0
co2_c (pp) oaa_c	1.0	4.0
co2_c (pp) pi_c	1.0	4.0
pep_c (pp) PPC	1.0	4.0
pep_c (pp) h_c	1.0	4.0
pep_c (pp) oaa_c	1.0	4.0
pep_c (pp) pi_c	1.0	4.0
PPC (pp) PPC	1.0	4.0
PPC (pp) h_c	1.0	4.0
PPC (pp) oaa_c	1.0	4.0
PPC (pp) pi_c	1.0	4.0
oaa_c (pp) PPCK	1.0	4.0
oaa_c (pp) pep_c	1.0	4.0
oaa_c (pp) co2_c	1.0	4.0
oaa_c (pp) adp_c	1.0	4.0
atp_c (pp) PPCK	1.0	4.0
atp_c (pp) pep_c	1.0	4.0
atp_c (pp) co2_c	1.0	4.0
atp_c (pp) adp_c	1.0	4.0
PPCK (pp) PPCK	1.0	4.0
PPCK (pp) pep_c	1.0	4.0
PPCK (pp) co2_c	1.0	4.0
PPCK (pp) adp_c	1.0	4.0
h2o_c (pp) PPS	1.0	4.0
h2o_c (pp) pep_c	1.0	4.0
h2o_c (pp) h_c	1.0	4.0
h2o_c (pp) pi_c	1.0	4.0
h2o_c (pp) amp_c	1.0	4.0
atp_c (pp) PPS	1.0	4.0
atp_c (pp) pep_c	1.0	4.0
atp_c (pp) h_c	1.0	4.0
atp_c (pp) pi_c	1.0	4.0
atp_c (pp) amp_c	1.0	4.0
pyr_c (pp) PPS	1.0	4.0
pyr_c (pp) pep_c	1.0	4.0
pyr_c (pp) h_c	1.0	4.0
pyr_c (pp) pi_c	1.0	4.0
pyr_c (pp) amp_c	1.0	4.0
PPS (pp) PPS	1.0	4.0
PPS (pp) pep_c	1.0	4.0
PPS (pp) h_c	1.0	4.0
PPS (pp) pi_c	1.0	4.0
PPS (pp) amp_c	1.0	4.0
pi_c (pp) PTAr	1.0	2.0
pi_c (pp) coa_c	1.0	2.0
pi_c (pp) actp_c	1.0	2.0
accoa_c (pp) PTAr	1.0	2.0
accoa_c (pp) coa_c	1.0	2.0
accoa_c (pp) actp_c	1.0	2.0
PTAr (pp) PTAr	1.0	2.0
PTAr (pp) coa_c	1.0	2.0
PTAr (pp) actp_c	1.0	2.0
pep_c (pp) PYK	1.0	0.25
pep_c (pp) pyr_c	1.0	0.25
pep_c (pp) atp_c	1.0	0.25
h_c (pp) PYK	1.0	0.25
h_c (pp) pyr_c	1.0	0.25
h_c (pp) atp_c	1.0	0.25
adp_c (pp) PYK	1.0	0.25
adp_c (pp) pyr_c	1.0	0.25
adp_c (pp) atp_c	1.0	0.25
PYK (pp) PYK	1.0	0.25
PYK (pp) pyr_c	1.0	0.25
PYK (pp) atp_c	1.0	0.25
h_e (pp) PYRt2	1.0	4.0
h_e (pp) pyr_c	1.0	4.0
h_e (pp) h_c	1.0	4.0
pyr_e (pp) PYRt2	1.0	4.0
pyr_e (pp) pyr_c	1.0	4.0
pyr_e (pp) h_c	1.0	4.0
PYRt2 (pp) PYRt2	1.0	4.0
PYRt2 (pp) pyr_c	1.0	4.0
PYRt2 (pp) h_c	1.0	4.0
ru5p__D_c (pp) RPE	1.0	0.25
ru5p__D_c (pp) xu5p__D_c	1.0	0.25
RPE (pp) RPE	1.0	0.25
RPE (pp) xu5p__D_c	1.0	0.25
r5p_c (pp) RPI	1.0	0.5
r5p_c (pp) ru5p__D_c	1.0	0.5
RPI (pp) RPI	1.0	0.5
RPI (pp) ru5p__D_c	1.0	0.5
h_e (pp) SUCCt2_2	1.0	4.0
h_e (pp) succ_c	1.0	4.0
h_e (pp) h_c	1.0	4.0
succ_e (pp) SUCCt2_2	1.0	4.0
succ_e (pp) succ_c	1.0	4.0
succ_e (pp) h_c	1.0	4.0
SUCCt2_2 (pp) SUCCt2_2	1.0	4.0
SUCCt2_2 (pp) succ_c	1.0	4.0
SUCCt2_2 (pp) h_c	1.0	4.0
succ_c (pp) SUCCt3	1.0	0.5
succ_c (pp) succ_e	1.0	0.5
succ_c (pp) h_c	1.0	0.5
h_e (pp) SUCCt3	1.0	0.5
h_e (pp) succ_e	1.0	0.5
h_e (pp) h_c	1.0	0.5
SUCCt3 (pp) SUCCt3	1.0	0.5
SUCCt3 (pp) succ_e	1.0	0.5
SUCCt3 (pp) h_c	1.0	0.5
succ_c (pp) SUCDi	1.0	1.0
succ_c (pp) q8h2_c	1.0	1.0
succ_c (pp) fum_c	1.0	1.0
q8_c (pp) SUCDi	1.0	1.0
q8_c (pp) q8h2_c	1.0	1.0
q8_c (pp) fum_c	1.0	1.0
SUCDi (pp) SUCDi	1.0	1.0
SUCDi (pp) q8h2_c	1.0	1.0
SUCDi (pp) fum_c	1.0	1.0
atp_c (pp) SUCOAS	1.0	4.0
atp_c (pp) succoa_c	1.0	4.0
atp_c (pp) adp_c	1.0	4.0
atp_c (pp) pi_c	1.0	4.0
succ_c (pp) SUCOAS	1.0	4.0
succ_c (pp) succoa_c	1.0	4.0
succ_c (pp) adp_c	1.0	4.0
succ_c (pp) pi_c	1.0	4.0
coa_c (pp) SUCOAS	1.0	4.0
coa_c (pp) succoa_c	1.0	4.0
coa_c (pp) adp_c	1.0	4.0
coa_c (pp) pi_c	1.0	4.0
SUCOAS (pp) SUCOAS	1.0	4.0
SUCOAS (pp) succoa_c	1.0	4.0
SUCOAS (pp) adp_c	1.0	4.0
SUCOAS (pp) pi_c	1.0	4.0
s7p_c (pp) TALA	1.0	0.25
s7p_c (pp) e4p_c	1.0	0.25
s7p_c (pp) f6p_c	1.0	0.25
g3p_c (pp) TALA	1.0	0.25
g3p_c (pp) e4p_c	1.0	0.25
g3p_c (pp) f6p_c	1.0	0.25
TALA (pp) TALA	1.0	0.25
TALA (pp) e4p_c	1.0	0.25
TALA (pp) f6p_c	1.0	0.25
nadp_c (pp) THD2	1.0	0.5
nadp_c (pp) nadph_c	1.0	0.5
nadp_c (pp) h_c	1.0	0.5
nadp_c (pp) nad_c	1.0	0.5
h_e (pp) THD2	1.0	0.5
h_e (pp) nadph_c	1.0	0.5
h_e (pp) h_c	1.0	0.5
h_e (pp) nad_c	1.0	0.5
nadh_c (pp) THD2	1.0	0.5
nadh_c (pp) nadph_c	1.0	0.5
nadh_c (pp) h_c	1.0	0.5
nadh_c (pp) nad_c	1.0	0.5
THD2 (pp) THD2	1.0	0.5
THD2 (pp) nadph_c	1.0	0.5
THD2 (pp) h_c	1.0	0.5
THD2 (pp) nad_c	1.0	0.5
r5p_c (pp) TKT1	1.0	1.0
r5p_c (pp) g3p_c	1.0	1.0
r5p_c (pp) s7p_c	1.0	1.0
xu5p__D_c (pp) TKT1	1.0	1.0
xu5p__D_c (pp) g3p_c	1.0	1.0
xu5p__D_c (pp) s7p_c	1.0	1.0
TKT1 (pp) TKT1	1.0	1.0
TKT1 (pp) g3p_c	1.0	1.0
TKT1 (pp) s7p_c	1.0	1.0
e4p_c (pp) TKT2	1.0	4.0
e4p_c (pp) g3p_c	1.0	4.0
e4p_c (pp) f6p_c	1.0	4.0
xu5p__D_c (pp) TKT2	1.0	4.0
xu5p__D_c (pp) g3p_c	1.0	4.0
xu5p__D_c (pp) f6p_c	1.0	4.0
TKT2 (pp) TKT2	1.0	4.0
TKT2 (pp) g3p_c	1.0	4.0
TKT2 (pp) f6p_c	1.0	4.0
dhap_c (pp) TPI	1.0	1.0
dhap_c (pp) g3p_c	1.0	1.0
TPI (pp) TPI	1.0	1.0
TPI (pp) g3p_c	1.0	1.0
NONE (pp) NONE	0.001	0.001
